name,class,scientific_axioms,all_axioms
RGFlow.mass_gap_eventually_ge_bound,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap;RGFlow.mass_gap_lower_bound,Classical.choice;Quot.sound;RGFlow.mass_gap;RGFlow.mass_gap_lower_bound;propext
RGFlow.mass_gap_is_physical_observable,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap_A;RGFlow.mass_gap_A_tendsto;RGFlow.mass_gap_B,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap_A;RGFlow.mass_gap_A_tendsto;RGFlow.mass_gap_B;propext
RGFlow.mass_gap_joint_lipschitz_L1,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.mass_gap_jointly_lipschitz,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.mass_gap_lipschitz_continuous,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.mass_gap_lipschitz_in_a,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.mass_gap_monotone_in_g,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.mass_gap_never_vanishes,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_monotonic_in_g,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_monotonic_in_g;propext
RGFlow.mass_gap_persistence,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.mass_gap_quantitative_monotonicity,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
